序號,區域別,總計,男,女
1,台南總計,"1,888",621,"1,267"
2,東  區,134,51,83
3,南  區,76,27,49
4,北  區,25,12,13
5,安南區,31,12,19
6,安平區,50,19,31
7,中西區,82,27,55
8,新營區,36,10,26
9,永康區,121,33,88
10,鹽水區,76,25,51
11,白河區,64,26,38
12,麻豆區,21,8,13
13,佳里區,26,11,15
14,新化區,23,6,17
15,善化區,51,12,39
16,學甲區,46,12,34
17,柳營區,31,10,21
18,後壁區,111,20,91
19,東山區,55,14,41
20,下營區,50,21,29
21,六甲區,31,11,20
22,官田區,64,21,43
23,大內區,66,27,39
24,西港區,95,19,76
25,七股區,87,24,63
26,將軍區,63,20,43
27,北門區,26,5,21
28,新市區,38,14,24
29,安定區,54,23,31
30,山上區,30,18,12
31,玉井區,27,11,16
32,楠西區,10,2,8
33,南化區,31,18,13
34,左鎮區,15,7,8
35,仁德區,48,14,34
36,歸仁區,16,8,8
37,關廟區,43,16,27
38,龍崎區,35,7,28
